algoritmo,n,tipo,dominio,muestra,tiempo_us,memoria_kb
patienceSort,100000,ascendente,D7,a,10937,11380
sort,100000,ascendente,D7,b,669,4312
mergeSort,100000,ascendente,D7,b,1285,4364
quickSort,100000,ascendente,D7,b,652,4032
patienceSort,100000,ascendente,D7,b,13022,11408
sort,100000,ascendente,D7,c,737,4408
mergeSort,100000,ascendente,D7,c,2495,4416
quickSort,100000,ascendente,D7,c,1451,3976
patienceSort,100000,ascendente,D7,c,13190,11360
sort,100000,descendente,D1,a,630,4420
mergeSort,100000,descendente,D1,a,1330,4408
quickSort,100000,descendente,D1,a,737,3832
patienceSort,100000,descendente,D1,a,956,4676
sort,100000,descendente,D1,b,600,4308
mergeSort,100000,descendente,D1,b,2245,4316
quickSort,100000,descendente,D1,b,839,4028
patienceSort,100000,descendente,D1,b,1001,4600
sort,100000,descendente,D1,c,593,4344
mergeSort,100000,descendente,D1,c,1349,4420
quickSort,100000,descendente,D1,c,1192,4036
patienceSort,100000,descendente,D1,c,1196,4672
sort,100000,descendente,D7,a,928,4412
mergeSort,100000,descendente,D7,a,1631,4416
quickSort,100000,descendente,D7,a,676,4032
patienceSort,100000,descendente,D7,a,890,4616
sort,100000,descendente,D7,b,595,4416
mergeSort,100000,descendente,D7,b,1467,4308
quickSort,100000,descendente,D7,b,1251,4036
patienceSort,100000,descendente,D7,b,937,4668
sort,100000,descendente,D7,c,623,4308
mergeSort,100000,descendente,D7,c,1564,4312
quickSort,100000,descendente,D7,c,1334,4024
patienceSort,100000,descendente,D7,c,1003,4560
sort,1000,aleatorio,D1,a,24,3436
mergeSort,1000,aleatorio,D1,a,42,3320
quickSort,1000,aleatorio,D1,a,26,3328
patienceSort,1000,aleatorio,D1,a,55,3436
sort,1000,aleatorio,D1,b,27,3380
mergeSort,1000,aleatorio,D1,b,43,3368
quickSort,1000,aleatorio,D1,b,32,3436
patienceSort,1000,aleatorio,D1,b,69,3332
sort,1000,aleatorio,D1,c,21,3428
mergeSort,1000,aleatorio,D1,c,43,3436
quickSort,1000,aleatorio,D1,c,26,3436
patienceSort,1000,aleatorio,D1,c,39,3428
sort,1000,aleatorio,D7,a,55,3376
mergeSort,1000,aleatorio,D7,a,55,3436
quickSort,1000,aleatorio,D7,a,52,3436
patienceSort,1000,aleatorio,D7,a,83,3436
sort,1000,aleatorio,D7,b,38,3436
mergeSort,1000,aleatorio,D7,b,55,3376
quickSort,1000,aleatorio,D7,b,82,3436
patienceSort,1000,aleatorio,D7,b,86,3436
sort,1000,aleatorio,D7,c,38,3436
mergeSort,1000,aleatorio,D7,c,92,3436
quickSort,1000,aleatorio,D7,c,53,3436
patienceSort,1000,aleatorio,D7,c,104,3436
sort,1000,ascendente,D1,a,17,3436
mergeSort,1000,ascendente,D1,a,15,3436
quickSort,1000,ascendente,D1,a,20,3428
patienceSort,1000,ascendente,D1,a,19,3436
sort,1000,ascendente,D1,b,8,3336
mergeSort,1000,ascendente,D1,b,13,3436
quickSort,1000,ascendente,D1,b,10,3428
patienceSort,1000,ascendente,D1,b,18,3432
sort,1000,ascendente,D1,c,17,3436
mergeSort,1000,ascendente,D1,c,16,3376
quickSort,1000,ascendente,D1,c,18,3336
patienceSort,1000,ascendente,D1,c,18,3336
sort,1000,ascendente,D7,a,17,3336
